label,size,time,nb_rounds,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19,round20,round21,round22,round23,round24,round25,round26,round27,round28,round29,round30,round31,round32,round33,round34,round35,round36,round37,round38,round39,round40,round41,round42,round43,round44,round45,round46,round47,round48,round49,round50,round51,round52,round53,round54,round55,round56,round57,round58,round59,round60,round61,round62,round63,round64,round65,round66,round67,round68,round69,round70,round71,round72,round73,round74,round75,round76,round77,round78,round79,round80,round81,round82,round83,round84,round85,round86,round87,round88,round89,round90,round91,round92,round93,round94,round95,round96,round97,round98,round99,round100,round101,round102,round103,round104,round105,round106,round107,round108,round109,round110,round111,round112,round113,round114,round115,round116,round117,round118,round119,round120,round121,round122,round123,round124,round125,round126,round127,round128,round129,round130,round131,round132,round133,round134,round135,round136,round137,round138,round139,round140,round141,round142,round143,round144,round145,round146,round147,round148,round149,round150,round151,round152,round153,round154,round155,round156,round157,round158,round159,round160,round161,round162,round163,round164,round165,round166,round167,round168,round169,round170,round171,round172,round173,round174,round175,round176,round177,round178,round179,round180,round181,round182,round183,round184,round185,round186,round187,round188,round189,round190,round191,round192,round193,round194,round195,round196,round197,round198,round199,round200,round201,round202,round203,round204,round205,round206,round207,round208,round209,round210,round211,round212,round213,round214,round215,round216,round217,round218,round219,round220,round221,round222,round223,round224,round225,round226,round227,round228,round229,round230,round231,round232,round233,round234,round235,round236,round237,round238,round239,round240,round241,round242,round243,round244,round245,round246,round247,round248,round249,round250,round251,round252,round253,round254,round255
18,460,23.25516104698181,91,1,-1,1,-1,1,-1,1,-18,1,-7,1,-22,1,-18,1,-5,2,-2,2,-1,1,-1,1,-15,1,-2,1,-5,1,-10,1,-15,1,-6,1,-22,1,-1,1,-21,3,-2,1,-11,1,-1,1,-10,1,-1,1,-23,1,-2,1,-20,1,-29,1,-3,1,-1,2,-4,1,-1,1,-1,1,-23,1,-9,1,-1,1,-10,1,-16,1,-22,1,-6,1,-15,1,-1,1,-16,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,535,24.83081889152527,95,1,-1,1,-1,1,-1,1,-24,1,-8,1,-17,1,-9,1,-1,1,-22,1,-5,1,-19,1,-21,1,-3,1,-1,1,-1,1,-25,1,-19,1,-1,1,-4,2,-2,1,-24,1,-4,1,-17,1,-5,2,-1,1,-1,1,-1,1,-14,2,-2,1,-14,1,-10,1,-10,2,-2,1,-27,1,-18,1,-1,1,-26,1,-10,1,-1,1,-28,1,-11,1,-8,1,-22,1,-2,1,-1,1,-9,1,-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,456,29.457617044448853,109,1,-1,1,-1,1,-1,1,-3,1,-5,1,-1,1,-7,1,-1,1,-25,2,-1,1,-9,1,-18,1,-19,1,-7,1,-1,1,-6,1,-19,1,-15,1,-1,1,-14,1,-13,1,-23,1,-4,1,-1,1,-6,1,-20,1,-26,1,-5,1,-2,1,-1,1,-10,1,-1,1,-1,2,-2,1,-26,1,-5,1,-10,1,-1,1,-24,1,-8,1,-1,1,-6,1,-4,1,-1,1,-7,1,-8,3,-1,1,-1,1,-7,1,-1,1,-3,2,-1,1,-1,1,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,313,4.732594966888428,58,1,-1,1,-1,1,-1,1,-29,1,-11,1,-7,1,-14,1,-1,1,-1,1,-13,1,-1,1,-4,1,-26,1,-16,1,-11,1,-1,1,-23,1,-10,1,-11,1,-1,1,-1,1,-24,1,-9,1,-20,1,-13,1,-1,1,-10,1,-15,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,248,6.9481329917907715,60,1,-1,2,-2,1,-1,1,-1,1,-4,1,-3,1,-2,1,-1,2,-1,1,-1,1,-2,1,-1,1,-31,1,-17,2,-11,1,-1,1,-2,1,-1,1,-31,1,-12,1,-1,1,-27,1,-12,1,-3,1,-1,1,-26,1,-5,1,-9,1,-3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,333,8.028597116470337,65,1,-1,1,-2,1,-1,1,-21,2,-4,1,-1,1,-25,1,-14,1,-4,1,-13,1,-1,1,-11,1,-1,1,-9,1,-1,1,-6,1,-20,1,-17,1,-4,1,-17,1,-1,1,-1,1,-24,2,-12,1,-1,1,-21,1,-1,1,-11,1,-9,1,-10,1,-1,1,-20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,345,7.9857800006866455,77,1,-1,1,-1,1,-1,1,-15,1,-11,1,-22,1,-4,1,-1,1,-1,1,-24,1,-20,1,-4,1,-5,1,-1,1,-21,1,-7,1,-15,1,-15,1,-3,1,-1,1,-6,1,-3,1,-1,1,-24,1,-13,1,-2,1,-1,1,-10,1,-1,1,-3,2,-2,1,-23,1,-10,1,-11,1,-18,1,-1,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,446,7.794404983520508,88,1,-1,1,-2,1,-1,1,-11,1,-13,2,-1,1,-20,1,-1,1,-6,1,-20,1,-18,1,-7,1,-3,1,-1,1,-22,1,-17,1,-4,1,-18,1,-1,2,-1,1,-1,1,-1,1,-18,1,-3,2,-1,1,-25,1,-13,1,-8,1,-13,1,-1,1,-20,1,-6,1,-16,1,-7,1,-1,1,-12,1,-16,1,-9,1,-1,1,-15,1,-10,1,-20,1,-10,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,551,13.079965829849243,100,1,-1,1,-1,1,-1,1,-21,2,-1,1,-13,1,-16,1,-14,1,-4,1,-1,1,-10,1,-13,1,-9,1,-1,1,-20,2,-1,1,-24,1,-12,1,-1,1,-4,1,-21,1,-22,2,-1,1,-15,1,-1,1,-26,1,-14,1,-1,1,-23,3,-2,1,-3,1,-23,1,-19,2,-3,1,-1,1,-13,1,-2,1,-23,1,-6,1,-12,1,-1,1,-26,1,-6,1,-12,1,-1,1,-23,1,-10,1,-12,1,-3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,319,11.069145917892456,68,1,-1,1,-2,1,-1,1,-26,1,-5,2,-1,1,-24,1,-19,1,-1,1,-1,1,-19,1,-1,1,-26,1,-8,1,-1,1,-16,1,-1,1,-20,1,-1,3,-2,1,-21,1,-21,2,-3,1,-1,1,-21,1,-1,1,-3,1,-1,1,-6,1,-1,1,-7,1,-2,1,-1,1,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,426,8.018624067306519,72,1,-1,2,-1,1,-1,1,-25,1,-20,2,-18,1,-1,1,-20,1,-5,1,-25,1,-4,1,-1,1,-7,1,-11,1,-1,1,-23,1,-15,1,-2,1,-8,1,-1,1,-25,1,-17,1,-8,2,-2,1,-19,1,-8,1,-16,1,-7,1,-1,1,-10,1,-14,1,-20,1,-10,1,-13,3,-2,1,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,325,6.828629016876221,64,1,-1,1,-1,1,-1,1,-26,1,-6,1,-1,2,-1,1,-1,1,-26,1,-3,1,-1,1,-6,1,-17,1,-31,1,-7,1,-1,1,-27,1,-7,1,-20,1,-9,1,-1,1,-1,1,-12,1,-13,1,-8,1,-1,1,-29,2,-3,1,-1,1,-23,1,-1,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
